id,path,label,builder_id,materials_count,command_sample,startedOn,finishedOn,time_delta_sec,entropy_b64,subject_digest
provenance.intoto-18515858795#0,tampered_provenance_sample/provenance.intoto-18515858795.jsonl,tampered,,0,[],,,,5.723,
provenance.intoto-18515861890#0,tampered_provenance_sample/provenance.intoto-18515861890.jsonl,tampered,,0,[],,,,5.7156,
provenance.intoto-18515862590#0,tampered_provenance_sample/provenance.intoto-18515862590.jsonl,tampered,,0,[],,,,5.7212,
provenance.intoto-18515863896#0,tampered_provenance_sample/provenance.intoto-18515863896.jsonl,tampered,,0,[],,,,5.7195,
provenance.intoto-18515864403#0,tampered_provenance_sample/provenance.intoto-18515864403.jsonl,tampered,,0,[],,,,5.7255,
provenance.intoto-18515866405#0,tampered_provenance_sample/provenance.intoto-18515866405.jsonl,tampered,,0,[],,,,5.7164,
tampered_provenance.intoto-18515841743#0,tampered_provenance_sample/tampered_provenance.intoto-18515841743.jsonl,tampered,,0,[],,,,5.7175,
provenance.intoto-16652718059#0,untampered_provenance_sample/provenance.intoto-16652718059.jsonl,untampered,,0,[],,,,5.7231,
provenance.intoto-16652769341#0,untampered_provenance_sample/provenance.intoto-16652769341.jsonl,untampered,,0,[],,,,5.7192,
provenance.intoto-16652819755#0,untampered_provenance_sample/provenance.intoto-16652819755.jsonl,untampered,,0,[],,,,5.7131,
provenance.intoto-16652871796#0,untampered_provenance_sample/provenance.intoto-16652871796.jsonl,untampered,,0,[],,,,5.6834,
provenance.intoto-16652921505#0,untampered_provenance_sample/provenance.intoto-16652921505.jsonl,untampered,,0,[],,,,5.7178,
provenance.intoto-16652972912#0,untampered_provenance_sample/provenance.intoto-16652972912.jsonl,untampered,,0,[],,,,5.7168,
provenance.intoto-16653023696#0,untampered_provenance_sample/provenance.intoto-16653023696.jsonl,untampered,,0,[],,,,5.722,
provenance.intoto-16653072990#0,untampered_provenance_sample/provenance.intoto-16653072990.jsonl,untampered,,0,[],,,,5.7199,
provenance.intoto-16653121898#0,untampered_provenance_sample/provenance.intoto-16653121898.jsonl,untampered,,0,[],,,,5.7178,
provenance.intoto-16653171709#0,untampered_provenance_sample/provenance.intoto-16653171709.jsonl,untampered,,0,[],,,,5.7227,
provenance.intoto-16653219035#0,untampered_provenance_sample/provenance.intoto-16653219035.jsonl,untampered,,0,[],,,,5.7162,
provenance.intoto-16653267663#0,untampered_provenance_sample/provenance.intoto-16653267663.jsonl,untampered,,0,[],,,,5.7183,
provenance.intoto-16653316012#0,untampered_provenance_sample/provenance.intoto-16653316012.jsonl,untampered,,0,[],,,,5.7174,
provenance.intoto-16653364310#0,untampered_provenance_sample/provenance.intoto-16653364310.jsonl,untampered,,0,[],,,,5.7203,
provenance.intoto-16653411901#0,untampered_provenance_sample/provenance.intoto-16653411901.jsonl,untampered,,0,[],,,,5.7166,
provenance.intoto-16653456993#0,untampered_provenance_sample/provenance.intoto-16653456993.jsonl,untampered,,0,[],,,,5.7231,
provenance.intoto-16653505806#0,untampered_provenance_sample/provenance.intoto-16653505806.jsonl,untampered,,0,[],,,,5.7214,
provenance.intoto-16653554493#0,untampered_provenance_sample/provenance.intoto-16653554493.jsonl,untampered,,0,[],,,,5.7197,
provenance.intoto-16653599309#0,untampered_provenance_sample/provenance.intoto-16653599309.jsonl,untampered,,0,[],,,,5.7221,
provenance.intoto-16653645476#0,untampered_provenance_sample/provenance.intoto-16653645476.jsonl,untampered,,0,[],,,,5.7169,
provenance.intoto-16653691647#0,untampered_provenance_sample/provenance.intoto-16653691647.jsonl,untampered,,0,[],,,,5.7205,
provenance.intoto-16653737364#0,untampered_provenance_sample/provenance.intoto-16653737364.jsonl,untampered,,0,[],,,,5.7201,
provenance.intoto-16653783767#0,untampered_provenance_sample/provenance.intoto-16653783767.jsonl,untampered,,0,[],,,,5.7178,
provenance.intoto-16653830862#0,untampered_provenance_sample/provenance.intoto-16653830862.jsonl,untampered,,0,[],,,,5.7188,
provenance.intoto-16653874554#0,untampered_provenance_sample/provenance.intoto-16653874554.jsonl,untampered,,0,[],,,,5.7241,
provenance.intoto-16653918719#0,untampered_provenance_sample/provenance.intoto-16653918719.jsonl,untampered,,0,[],,,,5.7118,
provenance.intoto-16653963567#0,untampered_provenance_sample/provenance.intoto-16653963567.jsonl,untampered,,0,[],,,,5.7206,
provenance.intoto-16654011882#0,untampered_provenance_sample/provenance.intoto-16654011882.jsonl,untampered,,0,[],,,,5.7194,
provenance.intoto-16654058248#0,untampered_provenance_sample/provenance.intoto-16654058248.jsonl,untampered,,0,[],,,,5.7192,
provenance.intoto-16654106107#0,untampered_provenance_sample/provenance.intoto-16654106107.jsonl,untampered,,0,[],,,,5.7208,
provenance.intoto-16654150520#0,untampered_provenance_sample/provenance.intoto-16654150520.jsonl,untampered,,0,[],,,,5.726,
provenance.intoto-16654196848#0,untampered_provenance_sample/provenance.intoto-16654196848.jsonl,untampered,,0,[],,,,5.7228,
provenance.intoto-16654241242#0,untampered_provenance_sample/provenance.intoto-16654241242.jsonl,untampered,,0,[],,,,5.7173,
provenance.intoto-16654284162#0,untampered_provenance_sample/provenance.intoto-16654284162.jsonl,untampered,,0,[],,,,5.7193,
provenance.intoto-16654327385#0,untampered_provenance_sample/provenance.intoto-16654327385.jsonl,untampered,,0,[],,,,5.7153,
provenance.intoto-16654368603#0,untampered_provenance_sample/provenance.intoto-16654368603.jsonl,untampered,,0,[],,,,5.7158,
provenance.intoto-16654412643#0,untampered_provenance_sample/provenance.intoto-16654412643.jsonl,untampered,,0,[],,,,5.7208,
provenance.intoto-16654453825#0,untampered_provenance_sample/provenance.intoto-16654453825.jsonl,untampered,,0,[],,,,5.7248,
provenance.intoto-16654497634#0,untampered_provenance_sample/provenance.intoto-16654497634.jsonl,untampered,,0,[],,,,5.7202,
provenance.intoto-16654539528#0,untampered_provenance_sample/provenance.intoto-16654539528.jsonl,untampered,,0,[],,,,5.7212,
provenance.intoto-16654580688#0,untampered_provenance_sample/provenance.intoto-16654580688.jsonl,untampered,,0,[],,,,5.717,
provenance.intoto-16654623500#0,untampered_provenance_sample/provenance.intoto-16654623500.jsonl,untampered,,0,[],,,,5.7189,
provenance.intoto-16654665548#0,untampered_provenance_sample/provenance.intoto-16654665548.jsonl,untampered,,0,[],,,,5.7228,
provenance.intoto-16654707688#0,untampered_provenance_sample/provenance.intoto-16654707688.jsonl,untampered,,0,[],,,,5.721,
provenance.intoto-16654786891#0,untampered_provenance_sample/provenance.intoto-16654786891.jsonl,untampered,,0,[],,,,5.7181,
provenance.intoto-16654828174#0,untampered_provenance_sample/provenance.intoto-16654828174.jsonl,untampered,,0,[],,,,5.7198,
provenance.intoto-16654867824#0,untampered_provenance_sample/provenance.intoto-16654867824.jsonl,untampered,,0,[],,,,5.72,
provenance.intoto-16654907251#0,untampered_provenance_sample/provenance.intoto-16654907251.jsonl,untampered,,0,[],,,,5.7235,
untampered_provenance.intoto-16652667214#0,untampered_provenance_sample/untampered_provenance.intoto-16652667214.jsonl,untampered,,0,[],,,,5.7177,
